scenario,personality_profile,quiet_prob,warm_prob,strange_prob,lonely_prob,predicted_mood,expected_personality_effect,pass/fail
neutral_weather,calm_high,0.546531617641449,0.33825844526290894,0.053505320101976395,0.0617046132683754,quiet,quiet_prob +0.4012 vs baseline,pass
neutral_weather,weird_high,0.08983569592237473,0.39445140957832336,0.44443121552467346,0.07128170877695084,strange,strange_prob +0.3432 vs baseline,pass
neutral_weather,warm_high,0.02969377301633358,0.9260843396186829,0.020677996799349785,0.02354390174150467,warm,warm_prob +0.2880 vs baseline,pass
neutral_weather,lonely_high,0.08533905446529388,0.3745341897010803,0.059433240443468094,0.48069360852241516,lonely,lonely_prob +0.3654 vs baseline,pass
humid_night,calm_high,0.5806950330734253,0.03701607510447502,0.019047506153583527,0.36324140429496765,quiet,quiet_prob +0.4175 vs baseline,pass
humid_night,weird_high,0.13240860402584076,0.059941332787275314,0.21895428001880646,0.5886957049369812,lonely,strange_prob +0.1810 vs baseline,pass
humid_night,warm_high,0.11247195303440094,0.3616553246974945,0.026179956272244453,0.49969273805618286,lonely,warm_prob +0.2878 vs baseline,pass
humid_night,lonely_high,0.03007754124701023,0.013609790243208408,0.007001729216426611,0.9493109583854675,lonely,lonely_prob +0.2243 vs baseline,pass
clear_day,calm_high,0.5473768711090088,0.34215104579925537,0.050456199795007706,0.06001587212085724,quiet,quiet_prob +0.4016 vs baseline,pass
clear_day,weird_high,0.09205681085586548,0.4081861972808838,0.4288924038410187,0.07086459547281265,strange,strange_prob +0.3332 vs baseline,pass
clear_day,warm_high,0.029481016099452972,0.9285072684288025,0.019334053620696068,0.022677743807435036,warm,warm_prob +0.2822 vs baseline,pass
clear_day,lonely_high,0.08656080812215805,0.3836389482021332,0.05677274987101555,0.47302743792533875,lonely,lonely_prob +0.3608 vs baseline,pass
rainy_room,calm_high,0.8514767289161682,0.010316387750208378,0.007407429162412882,0.13079944252967834,quiet,quiet_prob +0.4048 vs baseline,pass
rainy_room,weird_high,0.38219571113586426,0.032885827124118805,0.1676206737756729,0.4172978103160858,lonely,strange_prob +0.1400 vs baseline,pass
rainy_room,warm_high,0.3618001937866211,0.22112226486206055,0.022335637360811234,0.3947419822216034,lonely,warm_prob +0.1827 vs baseline,pass
rainy_room,lonely_high,0.11237674951553345,0.00966491736471653,0.006938159000128508,0.8710201978683472,lonely,lonely_prob +0.3837 vs baseline,pass
stormy_weather,calm_high,0.7244507074356079,0.009787221439182758,0.10874899476766586,0.15701304376125336,quiet,quiet_prob +0.4543 vs baseline,pass
stormy_weather,weird_high,0.09799985587596893,0.009402506984770298,0.7416315078735352,0.15096616744995117,strange,strange_prob +0.4537 vs baseline,pass
stormy_weather,warm_high,0.2333129197359085,0.1590002328157425,0.24853606522083282,0.35915088653564453,lonely,warm_prob +0.1331 vs baseline,pass
stormy_weather,lonely_high,0.07635380327701569,0.007322312798351049,0.08134294301271439,0.8349809646606445,lonely,lonely_prob +0.4190 vs baseline,pass
