temp_norm,humidity_norm,rain_norm,wind_norm,is_day,is_hot,is_humid,is_rainy,is_cloudy,is_stormy,personality_calm,personality_weird,personality_warm,personality_lonely,label,label_name,sample_type,scenario,contrast_group,personality_profile
0.291139,0.060692,0.019606,0.549139,0.0,0.0,0.0,0.0,0.0,0.0,0.387357,0.600656,0.30613,0.295022,3,lonely,random,,,
0.510194,0.298555,0.961094,0.051211,1.0,0.0,0.0,1.0,1.0,0.0,0.817606,0.149269,0.476924,0.4266,0,quiet,random,,,
0.464595,0.577313,0.452865,0.184141,1.0,0.0,0.0,1.0,1.0,0.0,0.690903,0.241037,0.419427,0.704086,0,quiet,random,,,
0.909929,0.276027,0.085367,0.049477,1.0,1.0,0.0,0.0,1.0,0.0,0.562762,0.77065,0.196722,0.320016,1,warm,random,,,
0.425916,0.814611,0.084313,0.129347,0,0,1,0,1,0,0.215872,0.188467,0.896513,0.196628,3,lonely,controlled_contrast,humid_night,humid_night_062,warm_high
0.891196,0.7096,0.627439,0.660341,1.0,1.0,0.0,1.0,1.0,0.0,0.394452,0.271537,0.304706,0.060751,1,warm,random,,,
0.367001,0.332581,0.188365,0.815958,0.0,0.0,0.0,0.0,1.0,0.0,0.504208,0.925055,0.367899,0.08074,2,strange,random,,,
0.761137,0.154456,0.173312,0.045477,1.0,1.0,0.0,0.0,1.0,0.0,0.717649,0.552679,0.506733,0.114767,1,warm,random,,,
0.116121,0.993484,0.817851,0.482126,1.0,0.0,1.0,1.0,1.0,1.0,0.244643,0.886868,0.496371,0.442114,2,strange,random,,,
0.42942,0.817027,0.39997,0.222757,0,0,1,1,1,0,0.180318,0.902486,0.223635,0.188978,3,lonely,controlled_contrast,rainy_room,rainy_room_057,weird_high
0.527631,0.903183,0.936523,0.766614,1.0,0.0,1.0,1.0,1.0,1.0,0.46235,0.517257,0.203297,0.092362,2,strange,random,,,
0.260999,0.729302,0.884145,0.614286,1.0,0.0,0.0,1.0,1.0,1.0,0.107163,0.626193,0.265591,0.491207,2,strange,random,,,
0.432216,0.786528,0.722484,0.68929,0,0,1,1,1,1,0.207199,0.912767,0.200199,0.213721,2,strange,controlled_contrast,stormy_weather,stormy_weather_018,weird_high
0.313401,0.470963,0.723915,0.844752,0.0,0.0,0.0,1.0,1.0,1.0,0.695931,0.676926,0.593307,0.25695,2,strange,random,,,
0.292655,0.998114,0.11932,0.56096,1.0,0.0,1.0,0.0,1.0,0.0,0.335821,0.414075,0.497051,0.539947,1,warm,random,,,
0.008105,0.639652,0.001649,0.650575,0.0,0.0,0.0,0.0,0.0,0.0,0.60685,0.930711,0.530195,0.119268,2,strange,random,,,
0.709123,0.19781,0.0,0.162289,1,0,0,0,0,0,0.215139,0.204723,0.902517,0.191775,1,warm,controlled_contrast,clear_day,clear_day_051,warm_high
0.46808,0.819583,0.087767,0.134872,0,0,1,0,1,0,0.186615,0.190087,0.202359,0.902424,3,lonely,controlled_contrast,humid_night,humid_night_036,lonely_high
